Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 312 | GridSize: 15
Generation 2 | Revalues: 490 | GridSize: 18
Generation 3 | Revalues: 698 | GridSize: 21
Generation 4 | Revalues: 914 | GridSize: 26
Generation 5 | Revalues: 1100 | GridSize: 31
Generation 6 | Revalues: 1280 | GridSize: 32
Generation 7 | Revalues: 1472 | GridSize: 32
Generation 8 | Revalues: 1662 | GridSize: 43
Generation 9 | Revalues: 1834 | GridSize: 41
Generation 10 | Revalues: 2036 | GridSize: 34
Generation 11 | Revalues: 2234 | GridSize: 39
Generation 12 | Revalues: 2422 | GridSize: 42
Generation 13 | Revalues: 2620 | GridSize: 42
Generation 14 | Revalues: 2832 | GridSize: 39
Generation 15 | Revalues: 3024 | GridSize: 29
Generation 16 | Revalues: 3242 | GridSize: 37
Generation 17 | Revalues: 3438 | GridSize: 35
Generation 18 | Revalues: 3640 | GridSize: 34
Generation 19 | Revalues: 3822 | GridSize: 35
Generation 20 | Revalues: 4044 | GridSize: 34
Generation 21 | Revalues: 4236 | GridSize: 39
Generation 22 | Revalues: 4446 | GridSize: 43
Generation 23 | Revalues: 4630 | GridSize: 45
Generation 24 | Revalues: 4830 | GridSize: 45
Generation 25 | Revalues: 5026 | GridSize: 40
Generation 26 | Revalues: 5240 | GridSize: 47
Generation 27 | Revalues: 5438 | GridSize: 48
Generation 28 | Revalues: 5630 | GridSize: 50
Generation 29 | Revalues: 5804 | GridSize: 52
Generation 30 | Revalues: 5992 | GridSize: 56
Generation 31 | Revalues: 6178 | GridSize: 54
Generation 32 | Revalues: 6386 | GridSize: 56
Generation 33 | Revalues: 6578 | GridSize: 59
Generation 34 | Revalues: 6782 | GridSize: 53
Generation 35 | Revalues: 6990 | GridSize: 59
Generation 36 | Revalues: 7184 | GridSize: 62
Generation 37 | Revalues: 7372 | GridSize: 64
Generation 38 | Revalues: 7572 | GridSize: 58
Generation 39 | Revalues: 7762 | GridSize: 59
Generation 40 | Revalues: 7984 | GridSize: 62
Generation 41 | Revalues: 8168 | GridSize: 63
Generation 42 | Revalues: 8348 | GridSize: 59
Generation 43 | Revalues: 8528 | GridSize: 66
Generation 44 | Revalues: 8736 | GridSize: 71
Generation 45 | Revalues: 8934 | GridSize: 73
Generation 46 | Revalues: 9134 | GridSize: 75
Generation 47 | Revalues: 9344 | GridSize: 78
Generation 48 | Revalues: 9532 | GridSize: 78
Generation 49 | Revalues: 9724 | GridSize: 78
Generation 50 | Revalues: 9928 | GridSize: 68
Generation 51 | Revalues: 10126 | GridSize: 66
Generation 52 | Revalues: 10308 | GridSize: 65
Generation 53 | Revalues: 10496 | GridSize: 66
Generation 54 | Revalues: 10684 | GridSize: 66
Generation 55 | Revalues: 10914 | GridSize: 65
Generation 56 | Revalues: 11096 | GridSize: 58
Generation 57 | Revalues: 11282 | GridSize: 53
Generation 58 | Revalues: 11472 | GridSize: 54
Generation 59 | Revalues: 11644 | GridSize: 58
Generation 60 | Revalues: 11850 | GridSize: 62
Generation 61 | Revalues: 12016 | GridSize: 67
Generation 62 | Revalues: 12234 | GridSize: 67
Generation 63 | Revalues: 12456 | GridSize: 67
Generation 64 | Revalues: 12634 | GridSize: 72
Generation 65 | Revalues: 12822 | GridSize: 76
Generation 66 | Revalues: 13040 | GridSize: 73
Generation 67 | Revalues: 13240 | GridSize: 78
Generation 68 | Revalues: 13456 | GridSize: 80
Generation 69 | Revalues: 13656 | GridSize: 83
Generation 70 | Revalues: 13872 | GridSize: 84
Generation 71 | Revalues: 14072 | GridSize: 83
Generation 72 | Revalues: 14254 | GridSize: 81
Generation 73 | Revalues: 14476 | GridSize: 82
Generation 74 | Revalues: 14670 | GridSize: 85
Generation 75 | Revalues: 14880 | GridSize: 85
Generation 76 | Revalues: 15100 | GridSize: 77
Generation 77 | Revalues: 15308 | GridSize: 72
Generation 78 | Revalues: 15506 | GridSize: 75
Generation 79 | Revalues: 15704 | GridSize: 75
Generation 80 | Revalues: 15916 | GridSize: 74
Generation 81 | Revalues: 16120 | GridSize: 74
Generation 82 | Revalues: 16322 | GridSize: 71
Generation 83 | Revalues: 16534 | GridSize: 72
Generation 84 | Revalues: 16742 | GridSize: 74
Generation 85 | Revalues: 16920 | GridSize: 74
Generation 86 | Revalues: 17102 | GridSize: 72
Generation 87 | Revalues: 17302 | GridSize: 67
Generation 88 | Revalues: 17510 | GridSize: 68
