Generation 0 | Revalues: 100 | GridSize: 8
Generation 1 | Revalues: 288 | GridSize: 13
Generation 2 | Revalues: 506 | GridSize: 24
Generation 3 | Revalues: 722 | GridSize: 32
Generation 4 | Revalues: 920 | GridSize: 31
Generation 5 | Revalues: 1122 | GridSize: 32
Generation 6 | Revalues: 1346 | GridSize: 36
Generation 7 | Revalues: 1538 | GridSize: 39
Generation 8 | Revalues: 1764 | GridSize: 45
Generation 9 | Revalues: 1964 | GridSize: 42
Generation 10 | Revalues: 2170 | GridSize: 46
Generation 11 | Revalues: 2386 | GridSize: 46
Generation 12 | Revalues: 2586 | GridSize: 51
Generation 13 | Revalues: 2808 | GridSize: 52
Generation 14 | Revalues: 3038 | GridSize: 52
Generation 15 | Revalues: 3246 | GridSize: 56
Generation 16 | Revalues: 3426 | GridSize: 59
Generation 17 | Revalues: 3626 | GridSize: 58
Generation 18 | Revalues: 3826 | GridSize: 60
Generation 19 | Revalues: 4022 | GridSize: 63
Generation 20 | Revalues: 4246 | GridSize: 61
Generation 21 | Revalues: 4426 | GridSize: 60
Generation 22 | Revalues: 4600 | GridSize: 62
Generation 23 | Revalues: 4770 | GridSize: 63
Generation 24 | Revalues: 4986 | GridSize: 64
Generation 25 | Revalues: 5162 | GridSize: 58
Generation 26 | Revalues: 5384 | GridSize: 57
Generation 27 | Revalues: 5582 | GridSize: 56
Generation 28 | Revalues: 5780 | GridSize: 56
Generation 29 | Revalues: 5988 | GridSize: 62
Generation 30 | Revalues: 6182 | GridSize: 57
Generation 31 | Revalues: 6358 | GridSize: 55
Generation 32 | Revalues: 6544 | GridSize: 60
Generation 33 | Revalues: 6758 | GridSize: 69
Generation 34 | Revalues: 6976 | GridSize: 62
Generation 35 | Revalues: 7180 | GridSize: 66
Generation 36 | Revalues: 7364 | GridSize: 66
Generation 37 | Revalues: 7562 | GridSize: 75
Generation 38 | Revalues: 7760 | GridSize: 77
Generation 39 | Revalues: 7948 | GridSize: 71
Generation 40 | Revalues: 8156 | GridSize: 70
Generation 41 | Revalues: 8330 | GridSize: 67
Generation 42 | Revalues: 8550 | GridSize: 63
Generation 43 | Revalues: 8762 | GridSize: 62
Generation 44 | Revalues: 8964 | GridSize: 61
Generation 45 | Revalues: 9178 | GridSize: 64
Generation 46 | Revalues: 9370 | GridSize: 63
Generation 47 | Revalues: 9540 | GridSize: 61
Generation 48 | Revalues: 9736 | GridSize: 63
Generation 49 | Revalues: 9936 | GridSize: 61
Generation 50 | Revalues: 10126 | GridSize: 60
Generation 51 | Revalues: 10326 | GridSize: 65
Generation 52 | Revalues: 10530 | GridSize: 61
Generation 53 | Revalues: 10716 | GridSize: 59
Generation 54 | Revalues: 10946 | GridSize: 60
Generation 55 | Revalues: 11156 | GridSize: 62
Generation 56 | Revalues: 11360 | GridSize: 61
Generation 57 | Revalues: 11576 | GridSize: 65
Generation 58 | Revalues: 11772 | GridSize: 59
Generation 59 | Revalues: 11958 | GridSize: 58
Generation 60 | Revalues: 12178 | GridSize: 57
Generation 61 | Revalues: 12386 | GridSize: 59
Generation 62 | Revalues: 12570 | GridSize: 60
Generation 63 | Revalues: 12766 | GridSize: 61
Generation 64 | Revalues: 12962 | GridSize: 55
Generation 65 | Revalues: 13148 | GridSize: 49
Generation 66 | Revalues: 13350 | GridSize: 52
Generation 67 | Revalues: 13566 | GridSize: 53
Generation 68 | Revalues: 13748 | GridSize: 56
Generation 69 | Revalues: 13928 | GridSize: 55
Generation 70 | Revalues: 14156 | GridSize: 47
Generation 71 | Revalues: 14358 | GridSize: 57
Generation 72 | Revalues: 14580 | GridSize: 55
Generation 73 | Revalues: 14794 | GridSize: 57
Generation 74 | Revalues: 14978 | GridSize: 59
Generation 75 | Revalues: 15164 | GridSize: 58
Generation 76 | Revalues: 15372 | GridSize: 63
Generation 77 | Revalues: 15606 | GridSize: 60
Generation 78 | Revalues: 15814 | GridSize: 61
Generation 79 | Revalues: 16008 | GridSize: 61
Generation 80 | Revalues: 16206 | GridSize: 61
Generation 81 | Revalues: 16408 | GridSize: 66
Generation 82 | Revalues: 16624 | GridSize: 72
Generation 83 | Revalues: 16822 | GridSize: 72
Generation 84 | Revalues: 17034 | GridSize: 70
Generation 85 | Revalues: 17260 | GridSize: 72
Generation 86 | Revalues: 17462 | GridSize: 71
Generation 87 | Revalues: 17662 | GridSize: 67
Generation 88 | Revalues: 17848 | GridSize: 71
Generation 89 | Revalues: 18048 | GridSize: 74
Generation 90 | Revalues: 18252 | GridSize: 78
Generation 91 | Revalues: 18452 | GridSize: 76
Generation 92 | Revalues: 18644 | GridSize: 78
Generation 93 | Revalues: 18840 | GridSize: 85
Generation 94 | Revalues: 19054 | GridSize: 80
Generation 95 | Revalues: 19260 | GridSize: 76
Generation 96 | Revalues: 19442 | GridSize: 81
Generation 97 | Revalues: 19620 | GridSize: 83
Generation 98 | Revalues: 19808 | GridSize: 83
Generation 99 | Revalues: 20010 | GridSize: 84
Generation 100 | Revalues: 20200 | GridSize: 86
Generation 101 | Revalues: 20398 | GridSize: 89
Generation 102 | Revalues: 20590 | GridSize: 90
Generation 103 | Revalues: 20784 | GridSize: 81
Generation 104 | Revalues: 20970 | GridSize: 86
Generation 105 | Revalues: 21160 | GridSize: 88
Generation 106 | Revalues: 21356 | GridSize: 88
Generation 107 | Revalues: 21562 | GridSize: 88
Generation 108 | Revalues: 21766 | GridSize: 85
Generation 109 | Revalues: 21968 | GridSize: 85
Generation 110 | Revalues: 22166 | GridSize: 80
Generation 111 | Revalues: 22364 | GridSize: 82
Generation 112 | Revalues: 22546 | GridSize: 81
Generation 113 | Revalues: 22762 | GridSize: 82
Generation 114 | Revalues: 22956 | GridSize: 82
Generation 115 | Revalues: 23176 | GridSize: 83
Generation 116 | Revalues: 23374 | GridSize: 80
Generation 117 | Revalues: 23566 | GridSize: 79
Generation 118 | Revalues: 23750 | GridSize: 80
Generation 119 | Revalues: 23932 | GridSize: 81
Generation 120 | Revalues: 24124 | GridSize: 80
Generation 121 | Revalues: 24308 | GridSize: 80
Generation 122 | Revalues: 24510 | GridSize: 81
Generation 123 | Revalues: 24696 | GridSize: 86
Generation 124 | Revalues: 24876 | GridSize: 89
Generation 125 | Revalues: 25062 | GridSize: 91
Generation 126 | Revalues: 25274 | GridSize: 98
Generation 127 | Revalues: 25464 | GridSize: 95
Generation 128 | Revalues: 25656 | GridSize: 96
Generation 129 | Revalues: 25858 | GridSize: 99
Generation 130 | Revalues: 26058 | GridSize: 97
Generation 131 | Revalues: 26248 | GridSize: 101
Generation 132 | Revalues: 26432 | GridSize: 103
Generation 133 | Revalues: 26622 | GridSize: 104
Generation 134 | Revalues: 26814 | GridSize: 109
Generation 135 | Revalues: 27016 | GridSize: 110
Generation 136 | Revalues: 27212 | GridSize: 111
Generation 137 | Revalues: 27406 | GridSize: 115
Generation 138 | Revalues: 27584 | GridSize: 117
Generation 139 | Revalues: 27778 | GridSize: 115
Generation 140 | Revalues: 27966 | GridSize: 112
Generation 141 | Revalues: 28156 | GridSize: 108
Generation 142 | Revalues: 28352 | GridSize: 107
Generation 143 | Revalues: 28538 | GridSize: 110
Generation 144 | Revalues: 28770 | GridSize: 111
Generation 145 | Revalues: 28960 | GridSize: 108
Generation 146 | Revalues: 29154 | GridSize: 106
Generation 147 | Revalues: 29342 | GridSize: 107
Generation 148 | Revalues: 29548 | GridSize: 112
Generation 149 | Revalues: 29772 | GridSize: 115
Generation 150 | Revalues: 29980 | GridSize: 118
Generation 151 | Revalues: 30158 | GridSize: 121
Generation 152 | Revalues: 30354 | GridSize: 120
Generation 153 | Revalues: 30558 | GridSize: 120
Generation 154 | Revalues: 30756 | GridSize: 122
Generation 155 | Revalues: 30986 | GridSize: 118
Generation 156 | Revalues: 31182 | GridSize: 116
Generation 157 | Revalues: 31390 | GridSize: 115
Generation 158 | Revalues: 31570 | GridSize: 114
Generation 159 | Revalues: 31764 | GridSize: 115
Generation 160 | Revalues: 31960 | GridSize: 114
Generation 161 | Revalues: 32144 | GridSize: 116
Generation 162 | Revalues: 32334 | GridSize: 119
Generation 163 | Revalues: 32510 | GridSize: 119
Generation 164 | Revalues: 32696 | GridSize: 120
Generation 165 | Revalues: 32880 | GridSize: 121
Generation 166 | Revalues: 33070 | GridSize: 123
Generation 167 | Revalues: 33258 | GridSize: 118
Generation 168 | Revalues: 33470 | GridSize: 121
Generation 169 | Revalues: 33664 | GridSize: 122
Generation 170 | Revalues: 33858 | GridSize: 119
Generation 171 | Revalues: 34058 | GridSize: 120
Generation 172 | Revalues: 34260 | GridSize: 117
Generation 173 | Revalues: 34458 | GridSize: 118
Generation 174 | Revalues: 34668 | GridSize: 119
Generation 175 | Revalues: 34876 | GridSize: 118
Generation 176 | Revalues: 35072 | GridSize: 119
Generation 177 | Revalues: 35272 | GridSize: 120
Generation 178 | Revalues: 35500 | GridSize: 122
Generation 179 | Revalues: 35696 | GridSize: 120
Generation 180 | Revalues: 35868 | GridSize: 124
Generation 181 | Revalues: 36042 | GridSize: 126
Generation 182 | Revalues: 36242 | GridSize: 118
Generation 183 | Revalues: 36448 | GridSize: 122
Generation 184 | Revalues: 36662 | GridSize: 115
Generation 185 | Revalues: 36858 | GridSize: 115
Generation 186 | Revalues: 37054 | GridSize: 117
Generation 187 | Revalues: 37262 | GridSize: 121
Generation 188 | Revalues: 37466 | GridSize: 126
Generation 189 | Revalues: 37650 | GridSize: 127
Generation 190 | Revalues: 37836 | GridSize: 129
Generation 191 | Revalues: 38052 | GridSize: 126
Generation 192 | Revalues: 38226 | GridSize: 122
Generation 193 | Revalues: 38410 | GridSize: 125
Generation 194 | Revalues: 38602 | GridSize: 127
Generation 195 | Revalues: 38788 | GridSize: 124
Generation 196 | Revalues: 38994 | GridSize: 122
Generation 197 | Revalues: 39194 | GridSize: 122
Generation 198 | Revalues: 39388 | GridSize: 121
Generation 199 | Revalues: 39590 | GridSize: 124
Generation 200 | Revalues: 39776 | GridSize: 122
Generation 201 | Revalues: 39962 | GridSize: 127
Generation 202 | Revalues: 40154 | GridSize: 123
Generation 203 | Revalues: 40354 | GridSize: 122
Generation 204 | Revalues: 40552 | GridSize: 124
Generation 205 | Revalues: 40780 | GridSize: 124
Generation 206 | Revalues: 40986 | GridSize: 123
Generation 207 | Revalues: 41194 | GridSize: 127
Generation 208 | Revalues: 41382 | GridSize: 128
Generation 209 | Revalues: 41586 | GridSize: 125
Generation 210 | Revalues: 41806 | GridSize: 118
Generation 211 | Revalues: 42016 | GridSize: 121
Generation 212 | Revalues: 42216 | GridSize: 119
Generation 213 | Revalues: 42440 | GridSize: 122
Generation 214 | Revalues: 42632 | GridSize: 126
Generation 215 | Revalues: 42832 | GridSize: 131
Generation 216 | Revalues: 43024 | GridSize: 129
Generation 217 | Revalues: 43228 | GridSize: 132
Generation 218 | Revalues: 43412 | GridSize: 134
Generation 219 | Revalues: 43622 | GridSize: 131
Generation 220 | Revalues: 43802 | GridSize: 131
Generation 221 | Revalues: 44004 | GridSize: 133
Generation 222 | Revalues: 44192 | GridSize: 134
Generation 223 | Revalues: 44380 | GridSize: 134
Generation 224 | Revalues: 44564 | GridSize: 132
Generation 225 | Revalues: 44772 | GridSize: 134
Generation 226 | Revalues: 44976 | GridSize: 134
Generation 227 | Revalues: 45180 | GridSize: 135
Generation 228 | Revalues: 45360 | GridSize: 131
Generation 229 | Revalues: 45562 | GridSize: 130
Generation 230 | Revalues: 45768 | GridSize: 131
Generation 231 | Revalues: 45978 | GridSize: 131
Generation 232 | Revalues: 46184 | GridSize: 131
Generation 233 | Revalues: 46416 | GridSize: 127
Generation 234 | Revalues: 46622 | GridSize: 126
Generation 235 | Revalues: 46816 | GridSize: 129
Generation 236 | Revalues: 47018 | GridSize: 127
Generation 237 | Revalues: 47222 | GridSize: 127
Generation 238 | Revalues: 47416 | GridSize: 132
Generation 239 | Revalues: 47618 | GridSize: 132
Generation 240 | Revalues: 47820 | GridSize: 133
Generation 241 | Revalues: 48038 | GridSize: 132
Generation 242 | Revalues: 48230 | GridSize: 129
Generation 243 | Revalues: 48410 | GridSize: 131
Generation 244 | Revalues: 48622 | GridSize: 134
Generation 245 | Revalues: 48816 | GridSize: 135
Generation 246 | Revalues: 49048 | GridSize: 133
Generation 247 | Revalues: 49246 | GridSize: 129
Generation 248 | Revalues: 49460 | GridSize: 130
Generation 249 | Revalues: 49640 | GridSize: 129
Generation 250 | Revalues: 49842 | GridSize: 129
Generation 251 | Revalues: 50050 | GridSize: 127
Generation 252 | Revalues: 50248 | GridSize: 131
Generation 253 | Revalues: 50442 | GridSize: 131
Generation 254 | Revalues: 50648 | GridSize: 130
Generation 255 | Revalues: 50852 | GridSize: 129
Generation 256 | Revalues: 51086 | GridSize: 134
Generation 257 | Revalues: 51280 | GridSize: 134
Generation 258 | Revalues: 51478 | GridSize: 132
Generation 259 | Revalues: 51684 | GridSize: 137
Generation 260 | Revalues: 51886 | GridSize: 134
Generation 261 | Revalues: 52078 | GridSize: 135
Generation 262 | Revalues: 52270 | GridSize: 137
Generation 263 | Revalues: 52472 | GridSize: 136
Generation 264 | Revalues: 52670 | GridSize: 142
Generation 265 | Revalues: 52904 | GridSize: 141
Generation 266 | Revalues: 53112 | GridSize: 139
Generation 267 | Revalues: 53310 | GridSize: 137
Generation 268 | Revalues: 53518 | GridSize: 138
Generation 269 | Revalues: 53686 | GridSize: 135
Generation 270 | Revalues: 53892 | GridSize: 131
Generation 271 | Revalues: 54096 | GridSize: 127
Generation 272 | Revalues: 54276 | GridSize: 128
Generation 273 | Revalues: 54476 | GridSize: 128
Generation 274 | Revalues: 54684 | GridSize: 127
Generation 275 | Revalues: 54890 | GridSize: 132
Generation 276 | Revalues: 55124 | GridSize: 134
Generation 277 | Revalues: 55334 | GridSize: 138
Generation 278 | Revalues: 55528 | GridSize: 141
Generation 279 | Revalues: 55728 | GridSize: 141
Generation 280 | Revalues: 55908 | GridSize: 141
Generation 281 | Revalues: 56118 | GridSize: 140
Generation 282 | Revalues: 56308 | GridSize: 148
Generation 283 | Revalues: 56502 | GridSize: 144
Generation 284 | Revalues: 56718 | GridSize: 141
Generation 285 | Revalues: 56930 | GridSize: 141
Generation 286 | Revalues: 57114 | GridSize: 141
Generation 287 | Revalues: 57316 | GridSize: 143
Generation 288 | Revalues: 57516 | GridSize: 141
Generation 289 | Revalues: 57672 | GridSize: 143
Generation 290 | Revalues: 57882 | GridSize: 145
Generation 291 | Revalues: 58094 | GridSize: 145
Generation 292 | Revalues: 58308 | GridSize: 148
Generation 293 | Revalues: 58500 | GridSize: 150
Generation 294 | Revalues: 58698 | GridSize: 149
Generation 295 | Revalues: 58902 | GridSize: 150
Generation 296 | Revalues: 59100 | GridSize: 150
Generation 297 | Revalues: 59302 | GridSize: 152
Generation 298 | Revalues: 59500 | GridSize: 153
Generation 299 | Revalues: 59682 | GridSize: 155
Generation 300 | Revalues: 59890 | GridSize: 156
Generation 301 | Revalues: 60090 | GridSize: 156
Generation 302 | Revalues: 60284 | GridSize: 157
Generation 303 | Revalues: 60494 | GridSize: 158
Generation 304 | Revalues: 60694 | GridSize: 157
Generation 305 | Revalues: 60902 | GridSize: 159
Generation 306 | Revalues: 61102 | GridSize: 161
Generation 307 | Revalues: 61318 | GridSize: 161
Generation 308 | Revalues: 61516 | GridSize: 163
Generation 309 | Revalues: 61716 | GridSize: 166
Generation 310 | Revalues: 61900 | GridSize: 168
Generation 311 | Revalues: 62100 | GridSize: 168
Generation 312 | Revalues: 62318 | GridSize: 172
Generation 313 | Revalues: 62524 | GridSize: 173
Generation 314 | Revalues: 62748 | GridSize: 174
Generation 315 | Revalues: 62932 | GridSize: 172
Generation 316 | Revalues: 63124 | GridSize: 174
Generation 317 | Revalues: 63330 | GridSize: 175
Generation 318 | Revalues: 63528 | GridSize: 177
Generation 319 | Revalues: 63722 | GridSize: 177
Generation 320 | Revalues: 63922 | GridSize: 183
Generation 321 | Revalues: 64120 | GridSize: 186
Generation 322 | Revalues: 64308 | GridSize: 182
Generation 323 | Revalues: 64504 | GridSize: 185
Generation 324 | Revalues: 64718 | GridSize: 185
Generation 325 | Revalues: 64932 | GridSize: 185
Generation 326 | Revalues: 65134 | GridSize: 186
Generation 327 | Revalues: 65348 | GridSize: 188
Generation 328 | Revalues: 65544 | GridSize: 188
Generation 329 | Revalues: 65748 | GridSize: 189
Generation 330 | Revalues: 65942 | GridSize: 189
Generation 331 | Revalues: 66136 | GridSize: 190
Generation 332 | Revalues: 66354 | GridSize: 190
Generation 333 | Revalues: 66554 | GridSize: 191
Generation 334 | Revalues: 66754 | GridSize: 192
Generation 335 | Revalues: 66948 | GridSize: 193
Generation 336 | Revalues: 67136 | GridSize: 194
Generation 337 | Revalues: 67322 | GridSize: 193
Generation 338 | Revalues: 67508 | GridSize: 194
Generation 339 | Revalues: 67734 | GridSize: 197
Generation 340 | Revalues: 67916 | GridSize: 198
Generation 341 | Revalues: 68106 | GridSize: 200
Generation 342 | Revalues: 68324 | GridSize: 202
Generation 343 | Revalues: 68536 | GridSize: 203
Generation 344 | Revalues: 68740 | GridSize: 204
Generation 345 | Revalues: 68912 | GridSize: 206
Generation 346 | Revalues: 69080 | GridSize: 207
Generation 347 | Revalues: 69288 | GridSize: 207
Generation 348 | Revalues: 69478 | GridSize: 207
Generation 349 | Revalues: 69670 | GridSize: 204
Generation 350 | Revalues: 69860 | GridSize: 197
Generation 351 | Revalues: 70078 | GridSize: 198
Generation 352 | Revalues: 70272 | GridSize: 200
Generation 353 | Revalues: 70466 | GridSize: 201
Generation 354 | Revalues: 70658 | GridSize: 203
Generation 355 | Revalues: 70890 | GridSize: 205
Generation 356 | Revalues: 71078 | GridSize: 205
Generation 357 | Revalues: 71302 | GridSize: 205
Generation 358 | Revalues: 71492 | GridSize: 207
Generation 359 | Revalues: 71674 | GridSize: 204
Generation 360 | Revalues: 71844 | GridSize: 204
Generation 361 | Revalues: 72028 | GridSize: 207
Generation 362 | Revalues: 72220 | GridSize: 199
Generation 363 | Revalues: 72408 | GridSize: 195
Generation 364 | Revalues: 72612 | GridSize: 189
Generation 365 | Revalues: 72808 | GridSize: 190
Generation 366 | Revalues: 72994 | GridSize: 188
Generation 367 | Revalues: 73188 | GridSize: 191
Generation 368 | Revalues: 73376 | GridSize: 191
Generation 369 | Revalues: 73576 | GridSize: 191
Generation 370 | Revalues: 73786 | GridSize: 190
Generation 371 | Revalues: 73994 | GridSize: 192
Generation 372 | Revalues: 74184 | GridSize: 194
Generation 373 | Revalues: 74380 | GridSize: 194
Generation 374 | Revalues: 74588 | GridSize: 198
Generation 375 | Revalues: 74822 | GridSize: 194
Generation 376 | Revalues: 75010 | GridSize: 197
Generation 377 | Revalues: 75200 | GridSize: 197
Generation 378 | Revalues: 75406 | GridSize: 197
Generation 379 | Revalues: 75574 | GridSize: 197
Generation 380 | Revalues: 75784 | GridSize: 198
Generation 381 | Revalues: 75952 | GridSize: 200
Generation 382 | Revalues: 76156 | GridSize: 201
Generation 383 | Revalues: 76370 | GridSize: 201
Generation 384 | Revalues: 76574 | GridSize: 205
Generation 385 | Revalues: 76772 | GridSize: 204
Generation 386 | Revalues: 76974 | GridSize: 207
Generation 387 | Revalues: 77156 | GridSize: 207
Generation 388 | Revalues: 77374 | GridSize: 206
Generation 389 | Revalues: 77580 | GridSize: 204
Generation 390 | Revalues: 77772 | GridSize: 205
Generation 391 | Revalues: 77960 | GridSize: 205
Generation 392 | Revalues: 78170 | GridSize: 206
Generation 393 | Revalues: 78394 | GridSize: 207
Generation 394 | Revalues: 78588 | GridSize: 207
Generation 395 | Revalues: 78782 | GridSize: 209
Generation 396 | Revalues: 79010 | GridSize: 212
Generation 397 | Revalues: 79204 | GridSize: 214
Generation 398 | Revalues: 79412 | GridSize: 214
Generation 399 | Revalues: 79604 | GridSize: 215
Generation 400 | Revalues: 79822 | GridSize: 212
Generation 401 | Revalues: 80026 | GridSize: 215
Generation 402 | Revalues: 80244 | GridSize: 209
Generation 403 | Revalues: 80444 | GridSize: 210
Generation 404 | Revalues: 80664 | GridSize: 214
Generation 405 | Revalues: 80882 | GridSize: 212
Generation 406 | Revalues: 81076 | GridSize: 214
Generation 407 | Revalues: 81256 | GridSize: 213
Generation 408 | Revalues: 81452 | GridSize: 212
Generation 409 | Revalues: 81668 | GridSize: 210
Generation 410 | Revalues: 81848 | GridSize: 209
Generation 411 | Revalues: 82062 | GridSize: 208
Generation 412 | Revalues: 82252 | GridSize: 202
Generation 413 | Revalues: 82454 | GridSize: 202
Generation 414 | Revalues: 82654 | GridSize: 205
Generation 415 | Revalues: 82852 | GridSize: 203
Generation 416 | Revalues: 83052 | GridSize: 208
Generation 417 | Revalues: 83264 | GridSize: 211
Generation 418 | Revalues: 83440 | GridSize: 214
Generation 419 | Revalues: 83654 | GridSize: 209
Generation 420 | Revalues: 83840 | GridSize: 208
Generation 421 | Revalues: 84036 | GridSize: 209
