Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 308 | GridSize: 10
Generation 2 | Revalues: 510 | GridSize: 10
Generation 3 | Revalues: 720 | GridSize: 19
Generation 4 | Revalues: 924 | GridSize: 20
Generation 5 | Revalues: 1140 | GridSize: 16
Generation 6 | Revalues: 1326 | GridSize: 16
Generation 7 | Revalues: 1524 | GridSize: 13
Generation 8 | Revalues: 1724 | GridSize: 16
Generation 9 | Revalues: 1910 | GridSize: 12
Generation 10 | Revalues: 2124 | GridSize: 18
Generation 11 | Revalues: 2328 | GridSize: 26
Generation 12 | Revalues: 2518 | GridSize: 25
Generation 13 | Revalues: 2724 | GridSize: 31
Generation 14 | Revalues: 2910 | GridSize: 24
Generation 15 | Revalues: 3098 | GridSize: 22
Generation 16 | Revalues: 3304 | GridSize: 17
Generation 17 | Revalues: 3532 | GridSize: 26
Generation 18 | Revalues: 3738 | GridSize: 30
Generation 19 | Revalues: 3950 | GridSize: 34
Generation 20 | Revalues: 4142 | GridSize: 26
Generation 21 | Revalues: 4362 | GridSize: 27
Generation 22 | Revalues: 4580 | GridSize: 27
Generation 23 | Revalues: 4782 | GridSize: 27
Generation 24 | Revalues: 4980 | GridSize: 30
Generation 25 | Revalues: 5192 | GridSize: 31
Generation 26 | Revalues: 5356 | GridSize: 29
Generation 27 | Revalues: 5578 | GridSize: 32
Generation 28 | Revalues: 5774 | GridSize: 37
Generation 29 | Revalues: 5958 | GridSize: 40
Generation 30 | Revalues: 6156 | GridSize: 40
Generation 31 | Revalues: 6362 | GridSize: 35
Generation 32 | Revalues: 6570 | GridSize: 40 | LOCAL SEARCH EXECUTED
Generation 33 | Revalues: 839245 | GridSize: 300 | LOCAL SEARCH EXECUTED
