Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 302 | GridSize: 17
Generation 2 | Revalues: 512 | GridSize: 25
Generation 3 | Revalues: 712 | GridSize: 22
Generation 4 | Revalues: 932 | GridSize: 23
Generation 5 | Revalues: 1144 | GridSize: 26
Generation 6 | Revalues: 1348 | GridSize: 31
Generation 7 | Revalues: 1534 | GridSize: 32
Generation 8 | Revalues: 1716 | GridSize: 33
Generation 9 | Revalues: 1922 | GridSize: 36
Generation 10 | Revalues: 2098 | GridSize: 36
Generation 11 | Revalues: 2302 | GridSize: 40
Generation 12 | Revalues: 2512 | GridSize: 39
Generation 13 | Revalues: 2748 | GridSize: 43
Generation 14 | Revalues: 2950 | GridSize: 46
Generation 15 | Revalues: 3168 | GridSize: 53
Generation 16 | Revalues: 3364 | GridSize: 57
Generation 17 | Revalues: 3570 | GridSize: 54
Generation 18 | Revalues: 3766 | GridSize: 58
Generation 19 | Revalues: 3996 | GridSize: 55
Generation 20 | Revalues: 4228 | GridSize: 57
Generation 21 | Revalues: 4406 | GridSize: 57
Generation 22 | Revalues: 4582 | GridSize: 58
Generation 23 | Revalues: 4782 | GridSize: 63
Generation 24 | Revalues: 4998 | GridSize: 47
Generation 25 | Revalues: 5186 | GridSize: 54
Generation 26 | Revalues: 5394 | GridSize: 53
Generation 27 | Revalues: 5616 | GridSize: 53
Generation 28 | Revalues: 5820 | GridSize: 54
Generation 29 | Revalues: 6012 | GridSize: 57
Generation 30 | Revalues: 6230 | GridSize: 55
Generation 31 | Revalues: 6428 | GridSize: 60
Generation 32 | Revalues: 6626 | GridSize: 63
Generation 33 | Revalues: 6832 | GridSize: 55
Generation 34 | Revalues: 7016 | GridSize: 57
Generation 35 | Revalues: 7192 | GridSize: 58
Generation 36 | Revalues: 7402 | GridSize: 60
Generation 37 | Revalues: 7608 | GridSize: 57
Generation 38 | Revalues: 7808 | GridSize: 58
Generation 39 | Revalues: 7990 | GridSize: 63
Generation 40 | Revalues: 8198 | GridSize: 66 | LOCAL SEARCH EXECUTED
Generation 41 | Revalues: 743646 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 42 | Revalues: 948879 | GridSize: 300 | LOCAL SEARCH EXECUTED
