Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 342 | GridSize: 9
Generation 2 | Revalues: 564 | GridSize: 5
Generation 3 | Revalues: 788 | GridSize: 7
Generation 4 | Revalues: 1026 | GridSize: 12
Generation 5 | Revalues: 1252 | GridSize: 8
Generation 6 | Revalues: 1446 | GridSize: 13
Generation 7 | Revalues: 1682 | GridSize: 15
Generation 8 | Revalues: 1908 | GridSize: 17
Generation 9 | Revalues: 2136 | GridSize: 13
Generation 10 | Revalues: 2356 | GridSize: 15
Generation 11 | Revalues: 2558 | GridSize: 12
Generation 12 | Revalues: 2776 | GridSize: 20
Generation 13 | Revalues: 2958 | GridSize: 19
Generation 14 | Revalues: 3180 | GridSize: 16
Generation 15 | Revalues: 3388 | GridSize: 18
Generation 16 | Revalues: 3618 | GridSize: 19
Generation 17 | Revalues: 3832 | GridSize: 23
Generation 18 | Revalues: 4048 | GridSize: 21
Generation 19 | Revalues: 4262 | GridSize: 25
Generation 20 | Revalues: 4494 | GridSize: 19
Generation 21 | Revalues: 4692 | GridSize: 22
Generation 22 | Revalues: 4890 | GridSize: 16
Generation 23 | Revalues: 5104 | GridSize: 19
Generation 24 | Revalues: 5326 | GridSize: 30
Generation 25 | Revalues: 5536 | GridSize: 21
Generation 26 | Revalues: 5756 | GridSize: 24
Generation 27 | Revalues: 5984 | GridSize: 23
Generation 28 | Revalues: 6220 | GridSize: 28
Generation 29 | Revalues: 6426 | GridSize: 21
Generation 30 | Revalues: 6652 | GridSize: 23
Generation 31 | Revalues: 6882 | GridSize: 27
Generation 32 | Revalues: 7096 | GridSize: 28
Generation 33 | Revalues: 7308 | GridSize: 34
Generation 34 | Revalues: 7508 | GridSize: 35
Generation 35 | Revalues: 7740 | GridSize: 31
Generation 36 | Revalues: 7964 | GridSize: 32
Generation 37 | Revalues: 8192 | GridSize: 27
Generation 38 | Revalues: 8422 | GridSize: 25
Generation 39 | Revalues: 8666 | GridSize: 21
Generation 40 | Revalues: 8856 | GridSize: 31
Generation 41 | Revalues: 9060 | GridSize: 25
Generation 42 | Revalues: 9276 | GridSize: 26
Generation 43 | Revalues: 9498 | GridSize: 32
Generation 44 | Revalues: 9710 | GridSize: 32
Generation 45 | Revalues: 9934 | GridSize: 28
Generation 46 | Revalues: 10152 | GridSize: 31
Generation 47 | Revalues: 10366 | GridSize: 31
Generation 48 | Revalues: 10566 | GridSize: 33
Generation 49 | Revalues: 10774 | GridSize: 28
Generation 50 | Revalues: 11008 | GridSize: 29
Generation 51 | Revalues: 11220 | GridSize: 36
Generation 52 | Revalues: 11434 | GridSize: 41
Generation 53 | Revalues: 11662 | GridSize: 36
Generation 54 | Revalues: 11872 | GridSize: 34
Generation 55 | Revalues: 12104 | GridSize: 40
Generation 56 | Revalues: 12342 | GridSize: 35
Generation 57 | Revalues: 12578 | GridSize: 19
Generation 58 | Revalues: 12790 | GridSize: 23
Generation 59 | Revalues: 13032 | GridSize: 21
Generation 60 | Revalues: 13252 | GridSize: 18
Generation 61 | Revalues: 13464 | GridSize: 19
Generation 62 | Revalues: 13682 | GridSize: 19
Generation 63 | Revalues: 13912 | GridSize: 25
Generation 64 | Revalues: 14130 | GridSize: 28
Generation 65 | Revalues: 14334 | GridSize: 26
Generation 66 | Revalues: 14544 | GridSize: 26
Generation 67 | Revalues: 14762 | GridSize: 34
Generation 68 | Revalues: 14988 | GridSize: 31
Generation 69 | Revalues: 15228 | GridSize: 30
Generation 70 | Revalues: 15446 | GridSize: 31
Generation 71 | Revalues: 15668 | GridSize: 29
Generation 72 | Revalues: 15892 | GridSize: 31
Generation 73 | Revalues: 16116 | GridSize: 31
Generation 74 | Revalues: 16340 | GridSize: 36
Generation 75 | Revalues: 16562 | GridSize: 35
Generation 76 | Revalues: 16770 | GridSize: 33
Generation 77 | Revalues: 16994 | GridSize: 38
Generation 78 | Revalues: 17198 | GridSize: 39
Generation 79 | Revalues: 17402 | GridSize: 43
Generation 80 | Revalues: 17642 | GridSize: 32
Generation 81 | Revalues: 17882 | GridSize: 33
Generation 82 | Revalues: 18098 | GridSize: 36
Generation 83 | Revalues: 18292 | GridSize: 43
Generation 84 | Revalues: 18516 | GridSize: 42
Generation 85 | Revalues: 18720 | GridSize: 40
Generation 86 | Revalues: 18934 | GridSize: 44
Generation 87 | Revalues: 19156 | GridSize: 42
Generation 88 | Revalues: 19354 | GridSize: 36
Generation 89 | Revalues: 19564 | GridSize: 39
Generation 90 | Revalues: 19778 | GridSize: 37
Generation 91 | Revalues: 20000 | GridSize: 42
Generation 92 | Revalues: 20190 | GridSize: 46
Generation 93 | Revalues: 20392 | GridSize: 40
Generation 94 | Revalues: 20598 | GridSize: 40
Generation 95 | Revalues: 20832 | GridSize: 30
Generation 96 | Revalues: 21068 | GridSize: 32
Generation 97 | Revalues: 21278 | GridSize: 30
Generation 98 | Revalues: 21518 | GridSize: 33
Generation 99 | Revalues: 21742 | GridSize: 37
Generation 100 | Revalues: 21974 | GridSize: 37
Generation 101 | Revalues: 22182 | GridSize: 39
Generation 102 | Revalues: 22400 | GridSize: 41
Generation 103 | Revalues: 22604 | GridSize: 41
Generation 104 | Revalues: 22822 | GridSize: 41
Generation 105 | Revalues: 23038 | GridSize: 50
Generation 106 | Revalues: 23264 | GridSize: 39
Generation 107 | Revalues: 23490 | GridSize: 36
Generation 108 | Revalues: 23706 | GridSize: 41
Generation 109 | Revalues: 23918 | GridSize: 49
Generation 110 | Revalues: 24120 | GridSize: 52
Generation 111 | Revalues: 24318 | GridSize: 44
Generation 112 | Revalues: 24534 | GridSize: 41
Generation 113 | Revalues: 24760 | GridSize: 41
Generation 114 | Revalues: 24988 | GridSize: 36
Generation 115 | Revalues: 25212 | GridSize: 39
Generation 116 | Revalues: 25428 | GridSize: 42
Generation 117 | Revalues: 25656 | GridSize: 41
Generation 118 | Revalues: 25874 | GridSize: 43
Generation 119 | Revalues: 26112 | GridSize: 39
Generation 120 | Revalues: 26342 | GridSize: 39
Generation 121 | Revalues: 26568 | GridSize: 40
Generation 122 | Revalues: 26794 | GridSize: 39
Generation 123 | Revalues: 26992 | GridSize: 45
Generation 124 | Revalues: 27202 | GridSize: 46
Generation 125 | Revalues: 27428 | GridSize: 46
Generation 126 | Revalues: 27634 | GridSize: 47
Generation 127 | Revalues: 27848 | GridSize: 44
Generation 128 | Revalues: 28074 | GridSize: 46
Generation 129 | Revalues: 28284 | GridSize: 50
Generation 130 | Revalues: 28498 | GridSize: 54
Generation 131 | Revalues: 28714 | GridSize: 48
Generation 132 | Revalues: 28944 | GridSize: 49
Generation 133 | Revalues: 29176 | GridSize: 49
Generation 134 | Revalues: 29398 | GridSize: 51
Generation 135 | Revalues: 29626 | GridSize: 47
Generation 136 | Revalues: 29852 | GridSize: 40
Generation 137 | Revalues: 30068 | GridSize: 39
Generation 138 | Revalues: 30262 | GridSize: 42
Generation 139 | Revalues: 30464 | GridSize: 43
Generation 140 | Revalues: 30696 | GridSize: 48
Generation 141 | Revalues: 30908 | GridSize: 49
Generation 142 | Revalues: 31138 | GridSize: 56
Generation 143 | Revalues: 31352 | GridSize: 55
Generation 144 | Revalues: 31568 | GridSize: 48
Generation 145 | Revalues: 31802 | GridSize: 52
Generation 146 | Revalues: 32024 | GridSize: 52
Generation 147 | Revalues: 32216 | GridSize: 49
Generation 148 | Revalues: 32430 | GridSize: 50
Generation 149 | Revalues: 32630 | GridSize: 56
Generation 150 | Revalues: 32828 | GridSize: 62
Generation 151 | Revalues: 33038 | GridSize: 59
Generation 152 | Revalues: 33258 | GridSize: 66
Generation 153 | Revalues: 33492 | GridSize: 69
Generation 154 | Revalues: 33714 | GridSize: 67
Generation 155 | Revalues: 33922 | GridSize: 65
Generation 156 | Revalues: 34138 | GridSize: 67
Generation 157 | Revalues: 34368 | GridSize: 72
Generation 158 | Revalues: 34582 | GridSize: 69
Generation 159 | Revalues: 34804 | GridSize: 71
Generation 160 | Revalues: 35022 | GridSize: 75
Generation 161 | Revalues: 35260 | GridSize: 77
Generation 162 | Revalues: 35464 | GridSize: 79
Generation 163 | Revalues: 35692 | GridSize: 79
Generation 164 | Revalues: 35908 | GridSize: 68
Generation 165 | Revalues: 36118 | GridSize: 70
Generation 166 | Revalues: 36316 | GridSize: 69
Generation 167 | Revalues: 36550 | GridSize: 69
Generation 168 | Revalues: 36788 | GridSize: 72
Generation 169 | Revalues: 37016 | GridSize: 67
Generation 170 | Revalues: 37224 | GridSize: 68
Generation 171 | Revalues: 37462 | GridSize: 71
Generation 172 | Revalues: 37692 | GridSize: 61
Generation 173 | Revalues: 37916 | GridSize: 68
Generation 174 | Revalues: 38130 | GridSize: 70
Generation 175 | Revalues: 38344 | GridSize: 68
Generation 176 | Revalues: 38576 | GridSize: 68
Generation 177 | Revalues: 38798 | GridSize: 58
Generation 178 | Revalues: 39014 | GridSize: 60
Generation 179 | Revalues: 39212 | GridSize: 57
Generation 180 | Revalues: 39410 | GridSize: 59
Generation 181 | Revalues: 39638 | GridSize: 63
Generation 182 | Revalues: 39866 | GridSize: 54
Generation 183 | Revalues: 40092 | GridSize: 57
Generation 184 | Revalues: 40338 | GridSize: 61
Generation 185 | Revalues: 40544 | GridSize: 66
Generation 186 | Revalues: 40782 | GridSize: 68
Generation 187 | Revalues: 40994 | GridSize: 66
Generation 188 | Revalues: 41222 | GridSize: 71
Generation 189 | Revalues: 41448 | GridSize: 64
Generation 190 | Revalues: 41676 | GridSize: 66
Generation 191 | Revalues: 41882 | GridSize: 65
Generation 192 | Revalues: 42102 | GridSize: 68
Generation 193 | Revalues: 42332 | GridSize: 72
Generation 194 | Revalues: 42594 | GridSize: 77
Generation 195 | Revalues: 42824 | GridSize: 73
Generation 196 | Revalues: 43050 | GridSize: 76
Generation 197 | Revalues: 43256 | GridSize: 79
Generation 198 | Revalues: 43490 | GridSize: 78
Generation 199 | Revalues: 43720 | GridSize: 78
Generation 200 | Revalues: 43926 | GridSize: 70
Generation 201 | Revalues: 44134 | GridSize: 60
Generation 202 | Revalues: 44346 | GridSize: 61
Generation 203 | Revalues: 44568 | GridSize: 59
Generation 204 | Revalues: 44786 | GridSize: 60
Generation 205 | Revalues: 45020 | GridSize: 62
Generation 206 | Revalues: 45248 | GridSize: 65
Generation 207 | Revalues: 45452 | GridSize: 57
Generation 208 | Revalues: 45692 | GridSize: 50
Generation 209 | Revalues: 45916 | GridSize: 55
Generation 210 | Revalues: 46128 | GridSize: 58
Generation 211 | Revalues: 46352 | GridSize: 58
Generation 212 | Revalues: 46586 | GridSize: 58
Generation 213 | Revalues: 46792 | GridSize: 56
Generation 214 | Revalues: 46998 | GridSize: 56
Generation 215 | Revalues: 47226 | GridSize: 53
Generation 216 | Revalues: 47394 | GridSize: 47
Generation 217 | Revalues: 47598 | GridSize: 43
Generation 218 | Revalues: 47832 | GridSize: 45
Generation 219 | Revalues: 48064 | GridSize: 49
Generation 220 | Revalues: 48266 | GridSize: 56
Generation 221 | Revalues: 48492 | GridSize: 57
Generation 222 | Revalues: 48710 | GridSize: 50
Generation 223 | Revalues: 48958 | GridSize: 49
Generation 224 | Revalues: 49152 | GridSize: 46
Generation 225 | Revalues: 49366 | GridSize: 48
Generation 226 | Revalues: 49610 | GridSize: 56
Generation 227 | Revalues: 49812 | GridSize: 61
Generation 228 | Revalues: 50012 | GridSize: 62
Generation 229 | Revalues: 50216 | GridSize: 63
Generation 230 | Revalues: 50438 | GridSize: 62
Generation 231 | Revalues: 50640 | GridSize: 58
Generation 232 | Revalues: 50860 | GridSize: 62
Generation 233 | Revalues: 51082 | GridSize: 65
Generation 234 | Revalues: 51280 | GridSize: 65
Generation 235 | Revalues: 51528 | GridSize: 68
Generation 236 | Revalues: 51738 | GridSize: 67
Generation 237 | Revalues: 51968 | GridSize: 71
Generation 238 | Revalues: 52208 | GridSize: 71
Generation 239 | Revalues: 52412 | GridSize: 70
Generation 240 | Revalues: 52644 | GridSize: 69
Generation 241 | Revalues: 52838 | GridSize: 70
Generation 242 | Revalues: 53056 | GridSize: 74
Generation 243 | Revalues: 53252 | GridSize: 69
Generation 244 | Revalues: 53454 | GridSize: 72
Generation 245 | Revalues: 53666 | GridSize: 72
Generation 246 | Revalues: 53868 | GridSize: 70
Generation 247 | Revalues: 54082 | GridSize: 69
Generation 248 | Revalues: 54282 | GridSize: 72
Generation 249 | Revalues: 54508 | GridSize: 74
Generation 250 | Revalues: 54720 | GridSize: 79
Generation 251 | Revalues: 54940 | GridSize: 77
Generation 252 | Revalues: 55154 | GridSize: 71
Generation 253 | Revalues: 55350 | GridSize: 73
Generation 254 | Revalues: 55586 | GridSize: 72
Generation 255 | Revalues: 55826 | GridSize: 73
Generation 256 | Revalues: 56042 | GridSize: 74
Generation 257 | Revalues: 56274 | GridSize: 76
Generation 258 | Revalues: 56504 | GridSize: 81
Generation 259 | Revalues: 56720 | GridSize: 85
Generation 260 | Revalues: 56930 | GridSize: 77
Generation 261 | Revalues: 57162 | GridSize: 74
Generation 262 | Revalues: 57376 | GridSize: 79
Generation 263 | Revalues: 57572 | GridSize: 82
Generation 264 | Revalues: 57814 | GridSize: 87
Generation 265 | Revalues: 58012 | GridSize: 79
Generation 266 | Revalues: 58218 | GridSize: 74
Generation 267 | Revalues: 58410 | GridSize: 75
Generation 268 | Revalues: 58654 | GridSize: 77
Generation 269 | Revalues: 58878 | GridSize: 79
Generation 270 | Revalues: 59082 | GridSize: 79
Generation 271 | Revalues: 59294 | GridSize: 79
Generation 272 | Revalues: 59500 | GridSize: 78
Generation 273 | Revalues: 59736 | GridSize: 78
Generation 274 | Revalues: 59950 | GridSize: 85
