Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 310 | GridSize: 4
Generation 2 | Revalues: 542 | GridSize: 9
Generation 3 | Revalues: 768 | GridSize: 11
Generation 4 | Revalues: 976 | GridSize: 14
Generation 5 | Revalues: 1176 | GridSize: 7
Generation 6 | Revalues: 1400 | GridSize: 13
Generation 7 | Revalues: 1606 | GridSize: 10
Generation 8 | Revalues: 1800 | GridSize: 11
Generation 9 | Revalues: 2022 | GridSize: 12
Generation 10 | Revalues: 2242 | GridSize: 16
Generation 11 | Revalues: 2446 | GridSize: 22
Generation 12 | Revalues: 2654 | GridSize: 13
Generation 13 | Revalues: 2876 | GridSize: 17
Generation 14 | Revalues: 3086 | GridSize: 14
Generation 15 | Revalues: 3272 | GridSize: 16
Generation 16 | Revalues: 3492 | GridSize: 18
Generation 17 | Revalues: 3726 | GridSize: 22
Generation 18 | Revalues: 3924 | GridSize: 19
Generation 19 | Revalues: 4132 | GridSize: 13
Generation 20 | Revalues: 4356 | GridSize: 20
Generation 21 | Revalues: 4560 | GridSize: 20
Generation 22 | Revalues: 4780 | GridSize: 20
Generation 23 | Revalues: 5010 | GridSize: 18
Generation 24 | Revalues: 5238 | GridSize: 16
Generation 25 | Revalues: 5460 | GridSize: 20
Generation 26 | Revalues: 5688 | GridSize: 22
Generation 27 | Revalues: 5896 | GridSize: 22
Generation 28 | Revalues: 6092 | GridSize: 24
Generation 29 | Revalues: 6302 | GridSize: 22
Generation 30 | Revalues: 6526 | GridSize: 20
Generation 31 | Revalues: 6730 | GridSize: 22
Generation 32 | Revalues: 6950 | GridSize: 20
Generation 33 | Revalues: 7196 | GridSize: 26
Generation 34 | Revalues: 7400 | GridSize: 29
Generation 35 | Revalues: 7632 | GridSize: 23
Generation 36 | Revalues: 7878 | GridSize: 27
Generation 37 | Revalues: 8130 | GridSize: 28
Generation 38 | Revalues: 8342 | GridSize: 28
Generation 39 | Revalues: 8582 | GridSize: 21
Generation 40 | Revalues: 8824 | GridSize: 27
Generation 41 | Revalues: 9030 | GridSize: 23
Generation 42 | Revalues: 9248 | GridSize: 23
Generation 43 | Revalues: 9462 | GridSize: 24
Generation 44 | Revalues: 9662 | GridSize: 20
Generation 45 | Revalues: 9876 | GridSize: 23
Generation 46 | Revalues: 10104 | GridSize: 27
Generation 47 | Revalues: 10328 | GridSize: 25
Generation 48 | Revalues: 10538 | GridSize: 23
Generation 49 | Revalues: 10740 | GridSize: 22
Generation 50 | Revalues: 10952 | GridSize: 29
Generation 51 | Revalues: 11156 | GridSize: 27
Generation 52 | Revalues: 11372 | GridSize: 35
Generation 53 | Revalues: 11600 | GridSize: 32
Generation 54 | Revalues: 11854 | GridSize: 34
Generation 55 | Revalues: 12060 | GridSize: 33
Generation 56 | Revalues: 12272 | GridSize: 37
Generation 57 | Revalues: 12500 | GridSize: 36
Generation 58 | Revalues: 12718 | GridSize: 34
Generation 59 | Revalues: 12924 | GridSize: 34
Generation 60 | Revalues: 13150 | GridSize: 36
Generation 61 | Revalues: 13374 | GridSize: 38
Generation 62 | Revalues: 13622 | GridSize: 39
Generation 63 | Revalues: 13864 | GridSize: 35
Generation 64 | Revalues: 14086 | GridSize: 38
Generation 65 | Revalues: 14292 | GridSize: 42
Generation 66 | Revalues: 14496 | GridSize: 43
Generation 67 | Revalues: 14712 | GridSize: 41
Generation 68 | Revalues: 14944 | GridSize: 38
Generation 69 | Revalues: 15172 | GridSize: 33
Generation 70 | Revalues: 15396 | GridSize: 36
Generation 71 | Revalues: 15602 | GridSize: 38
Generation 72 | Revalues: 15828 | GridSize: 37
Generation 73 | Revalues: 16054 | GridSize: 38
Generation 74 | Revalues: 16260 | GridSize: 33
Generation 75 | Revalues: 16478 | GridSize: 34
Generation 76 | Revalues: 16712 | GridSize: 35
Generation 77 | Revalues: 16930 | GridSize: 25
Generation 78 | Revalues: 17138 | GridSize: 23
Generation 79 | Revalues: 17346 | GridSize: 25
Generation 80 | Revalues: 17592 | GridSize: 24
Generation 81 | Revalues: 17826 | GridSize: 30
Generation 82 | Revalues: 18062 | GridSize: 32
Generation 83 | Revalues: 18282 | GridSize: 31
Generation 84 | Revalues: 18524 | GridSize: 30
Generation 85 | Revalues: 18750 | GridSize: 34
Generation 86 | Revalues: 18960 | GridSize: 35
Generation 87 | Revalues: 19178 | GridSize: 36
Generation 88 | Revalues: 19410 | GridSize: 34 | LOCAL SEARCH EXECUTED
Generation 89 | Revalues: 25744 | GridSize: 66
Generation 90 | Revalues: 25964 | GridSize: 66
Generation 91 | Revalues: 26196 | GridSize: 66
Generation 92 | Revalues: 26406 | GridSize: 65
Generation 93 | Revalues: 26610 | GridSize: 65
Generation 94 | Revalues: 26838 | GridSize: 65
Generation 95 | Revalues: 27054 | GridSize: 65
Generation 96 | Revalues: 27280 | GridSize: 63
Generation 97 | Revalues: 27472 | GridSize: 63
Generation 98 | Revalues: 27670 | GridSize: 66
Generation 99 | Revalues: 27878 | GridSize: 63
Generation 100 | Revalues: 28112 | GridSize: 66
Generation 101 | Revalues: 28316 | GridSize: 66
Generation 102 | Revalues: 28556 | GridSize: 64
Generation 103 | Revalues: 28784 | GridSize: 63
Generation 104 | Revalues: 28996 | GridSize: 63
Generation 105 | Revalues: 29216 | GridSize: 61
Generation 106 | Revalues: 29460 | GridSize: 61
Generation 107 | Revalues: 29682 | GridSize: 56
Generation 108 | Revalues: 29894 | GridSize: 59
Generation 109 | Revalues: 30100 | GridSize: 55
Generation 110 | Revalues: 30324 | GridSize: 59
Generation 111 | Revalues: 30554 | GridSize: 61
Generation 112 | Revalues: 30806 | GridSize: 65
Generation 113 | Revalues: 31030 | GridSize: 68
Generation 114 | Revalues: 31242 | GridSize: 67
Generation 115 | Revalues: 31480 | GridSize: 64
Generation 116 | Revalues: 31702 | GridSize: 67
Generation 117 | Revalues: 31936 | GridSize: 65
Generation 118 | Revalues: 32164 | GridSize: 68
Generation 119 | Revalues: 32370 | GridSize: 64
Generation 120 | Revalues: 32594 | GridSize: 66
Generation 121 | Revalues: 32812 | GridSize: 67
Generation 122 | Revalues: 33026 | GridSize: 63
Generation 123 | Revalues: 33252 | GridSize: 63
Generation 124 | Revalues: 33472 | GridSize: 65
Generation 125 | Revalues: 33690 | GridSize: 66
Generation 126 | Revalues: 33920 | GridSize: 66
Generation 127 | Revalues: 34128 | GridSize: 65
Generation 128 | Revalues: 34336 | GridSize: 65
Generation 129 | Revalues: 34538 | GridSize: 64
Generation 130 | Revalues: 34756 | GridSize: 65
Generation 131 | Revalues: 34954 | GridSize: 65
Generation 132 | Revalues: 35170 | GridSize: 64
Generation 133 | Revalues: 35376 | GridSize: 67
Generation 134 | Revalues: 35598 | GridSize: 75
Generation 135 | Revalues: 35830 | GridSize: 67 | LOCAL SEARCH EXECUTED
Generation 136 | Revalues: 323211 | GridSize: 300
Generation 137 | Revalues: 323431 | GridSize: 300
Generation 138 | Revalues: 323651 | GridSize: 300
Generation 139 | Revalues: 323865 | GridSize: 300
Generation 140 | Revalues: 324101 | GridSize: 299
Generation 141 | Revalues: 324305 | GridSize: 299
Generation 142 | Revalues: 324529 | GridSize: 299
Generation 143 | Revalues: 324749 | GridSize: 299
Generation 144 | Revalues: 324989 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 145 | Revalues: 420789 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 146 | Revalues: 526268 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 147 | Revalues: 628501 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 148 | Revalues: 720236 | GridSize: 300
Generation 149 | Revalues: 720458 | GridSize: 300
Generation 150 | Revalues: 720686 | GridSize: 300
Generation 151 | Revalues: 720902 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 152 | Revalues: 809250 | GridSize: 300
Generation 153 | Revalues: 809452 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 154 | Revalues: 892509 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 155 | Revalues: 980161 | GridSize: 300 | LOCAL SEARCH EXECUTED
