Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 308 | GridSize: 7
Generation 2 | Revalues: 560 | GridSize: 12
Generation 3 | Revalues: 764 | GridSize: 14
Generation 4 | Revalues: 990 | GridSize: 18
Generation 5 | Revalues: 1222 | GridSize: 9
Generation 6 | Revalues: 1452 | GridSize: 14
Generation 7 | Revalues: 1660 | GridSize: 12
Generation 8 | Revalues: 1890 | GridSize: 11
Generation 9 | Revalues: 2132 | GridSize: 18
Generation 10 | Revalues: 2370 | GridSize: 14
Generation 11 | Revalues: 2624 | GridSize: 9
Generation 12 | Revalues: 2818 | GridSize: 14
Generation 13 | Revalues: 3022 | GridSize: 13
Generation 14 | Revalues: 3256 | GridSize: 11
Generation 15 | Revalues: 3474 | GridSize: 17
Generation 16 | Revalues: 3694 | GridSize: 26
Generation 17 | Revalues: 3914 | GridSize: 24
Generation 18 | Revalues: 4138 | GridSize: 17
Generation 19 | Revalues: 4378 | GridSize: 21
Generation 20 | Revalues: 4606 | GridSize: 18
Generation 21 | Revalues: 4796 | GridSize: 20
Generation 22 | Revalues: 5008 | GridSize: 22
Generation 23 | Revalues: 5218 | GridSize: 16
Generation 24 | Revalues: 5424 | GridSize: 21
Generation 25 | Revalues: 5664 | GridSize: 20
Generation 26 | Revalues: 5886 | GridSize: 10
Generation 27 | Revalues: 6106 | GridSize: 19
Generation 28 | Revalues: 6316 | GridSize: 22
Generation 29 | Revalues: 6558 | GridSize: 24
Generation 30 | Revalues: 6798 | GridSize: 28
Generation 31 | Revalues: 7028 | GridSize: 33
Generation 32 | Revalues: 7232 | GridSize: 30
Generation 33 | Revalues: 7486 | GridSize: 30
Generation 34 | Revalues: 7690 | GridSize: 27
Generation 35 | Revalues: 7936 | GridSize: 24
Generation 36 | Revalues: 8144 | GridSize: 22
Generation 37 | Revalues: 8374 | GridSize: 27
Generation 38 | Revalues: 8594 | GridSize: 28
Generation 39 | Revalues: 8804 | GridSize: 34
Generation 40 | Revalues: 9032 | GridSize: 40
Generation 41 | Revalues: 9264 | GridSize: 32
Generation 42 | Revalues: 9494 | GridSize: 32
Generation 43 | Revalues: 9688 | GridSize: 36
Generation 44 | Revalues: 9910 | GridSize: 31
Generation 45 | Revalues: 10146 | GridSize: 24
Generation 46 | Revalues: 10384 | GridSize: 28
Generation 47 | Revalues: 10588 | GridSize: 27
Generation 48 | Revalues: 10802 | GridSize: 28
Generation 49 | Revalues: 11012 | GridSize: 28
Generation 50 | Revalues: 11232 | GridSize: 28
Generation 51 | Revalues: 11436 | GridSize: 28
Generation 52 | Revalues: 11630 | GridSize: 28
Generation 53 | Revalues: 11854 | GridSize: 29
Generation 54 | Revalues: 12092 | GridSize: 29
Generation 55 | Revalues: 12276 | GridSize: 34
Generation 56 | Revalues: 12500 | GridSize: 32
Generation 57 | Revalues: 12734 | GridSize: 43
Generation 58 | Revalues: 12932 | GridSize: 39
Generation 59 | Revalues: 13172 | GridSize: 34
Generation 60 | Revalues: 13374 | GridSize: 35
Generation 61 | Revalues: 13594 | GridSize: 30
Generation 62 | Revalues: 13794 | GridSize: 34
Generation 63 | Revalues: 13998 | GridSize: 34
Generation 64 | Revalues: 14212 | GridSize: 29
Generation 65 | Revalues: 14460 | GridSize: 36
Generation 66 | Revalues: 14696 | GridSize: 37
Generation 67 | Revalues: 14910 | GridSize: 31
Generation 68 | Revalues: 15130 | GridSize: 33
Generation 69 | Revalues: 15330 | GridSize: 36
Generation 70 | Revalues: 15540 | GridSize: 34
Generation 71 | Revalues: 15758 | GridSize: 37
Generation 72 | Revalues: 15986 | GridSize: 35
Generation 73 | Revalues: 16202 | GridSize: 35
Generation 74 | Revalues: 16424 | GridSize: 34
Generation 75 | Revalues: 16654 | GridSize: 40
Generation 76 | Revalues: 16874 | GridSize: 40
Generation 77 | Revalues: 17078 | GridSize: 40
Generation 78 | Revalues: 17304 | GridSize: 31
Generation 79 | Revalues: 17504 | GridSize: 32
Generation 80 | Revalues: 17730 | GridSize: 32
Generation 81 | Revalues: 17948 | GridSize: 34
Generation 82 | Revalues: 18204 | GridSize: 27
Generation 83 | Revalues: 18434 | GridSize: 30
Generation 84 | Revalues: 18642 | GridSize: 28
Generation 85 | Revalues: 18874 | GridSize: 29
Generation 86 | Revalues: 19106 | GridSize: 27
Generation 87 | Revalues: 19346 | GridSize: 27
Generation 88 | Revalues: 19574 | GridSize: 24
Generation 89 | Revalues: 19782 | GridSize: 31
Generation 90 | Revalues: 20014 | GridSize: 27
Generation 91 | Revalues: 20236 | GridSize: 22
Generation 92 | Revalues: 20440 | GridSize: 28
Generation 93 | Revalues: 20660 | GridSize: 27
Generation 94 | Revalues: 20882 | GridSize: 28
Generation 95 | Revalues: 21132 | GridSize: 29
Generation 96 | Revalues: 21346 | GridSize: 35
Generation 97 | Revalues: 21562 | GridSize: 32
Generation 98 | Revalues: 21764 | GridSize: 39
Generation 99 | Revalues: 21986 | GridSize: 37
Generation 100 | Revalues: 22192 | GridSize: 35
Generation 101 | Revalues: 22408 | GridSize: 33
Generation 102 | Revalues: 22628 | GridSize: 34
Generation 103 | Revalues: 22828 | GridSize: 35
Generation 104 | Revalues: 23064 | GridSize: 36
Generation 105 | Revalues: 23282 | GridSize: 37
Generation 106 | Revalues: 23504 | GridSize: 35
Generation 107 | Revalues: 23724 | GridSize: 39
Generation 108 | Revalues: 23938 | GridSize: 38
Generation 109 | Revalues: 24146 | GridSize: 41
Generation 110 | Revalues: 24344 | GridSize: 40
Generation 111 | Revalues: 24542 | GridSize: 39
Generation 112 | Revalues: 24732 | GridSize: 31
Generation 113 | Revalues: 24956 | GridSize: 33
Generation 114 | Revalues: 25168 | GridSize: 38
Generation 115 | Revalues: 25400 | GridSize: 39
Generation 116 | Revalues: 25630 | GridSize: 35
Generation 117 | Revalues: 25862 | GridSize: 30
Generation 118 | Revalues: 26068 | GridSize: 31
Generation 119 | Revalues: 26276 | GridSize: 32
Generation 120 | Revalues: 26486 | GridSize: 39
Generation 121 | Revalues: 26700 | GridSize: 38
Generation 122 | Revalues: 26920 | GridSize: 44
Generation 123 | Revalues: 27148 | GridSize: 41
Generation 124 | Revalues: 27352 | GridSize: 42
Generation 125 | Revalues: 27576 | GridSize: 38
Generation 126 | Revalues: 27800 | GridSize: 38
Generation 127 | Revalues: 28002 | GridSize: 38
Generation 128 | Revalues: 28220 | GridSize: 43
Generation 129 | Revalues: 28442 | GridSize: 45
Generation 130 | Revalues: 28660 | GridSize: 44
Generation 131 | Revalues: 28882 | GridSize: 44
Generation 132 | Revalues: 29116 | GridSize: 45
Generation 133 | Revalues: 29322 | GridSize: 43
Generation 134 | Revalues: 29548 | GridSize: 40
Generation 135 | Revalues: 29770 | GridSize: 42
Generation 136 | Revalues: 30008 | GridSize: 44
Generation 137 | Revalues: 30230 | GridSize: 45
Generation 138 | Revalues: 30424 | GridSize: 46
Generation 139 | Revalues: 30616 | GridSize: 47
Generation 140 | Revalues: 30848 | GridSize: 49
Generation 141 | Revalues: 31086 | GridSize: 52
Generation 142 | Revalues: 31312 | GridSize: 57
Generation 143 | Revalues: 31532 | GridSize: 55
Generation 144 | Revalues: 31764 | GridSize: 55
Generation 145 | Revalues: 31972 | GridSize: 55
Generation 146 | Revalues: 32198 | GridSize: 54
Generation 147 | Revalues: 32424 | GridSize: 51
Generation 148 | Revalues: 32650 | GridSize: 54
Generation 149 | Revalues: 32866 | GridSize: 58
