Generation 0 | Revalues: 100 | GridSize: 9
Generation 1 | Revalues: 302 | GridSize: 6
Generation 2 | Revalues: 528 | GridSize: 8
Generation 3 | Revalues: 744 | GridSize: 12
Generation 4 | Revalues: 948 | GridSize: 14
Generation 5 | Revalues: 1176 | GridSize: 14
Generation 6 | Revalues: 1384 | GridSize: 13
Generation 7 | Revalues: 1584 | GridSize: 11
Generation 8 | Revalues: 1784 | GridSize: 15
Generation 9 | Revalues: 2010 | GridSize: 17
Generation 10 | Revalues: 2218 | GridSize: 19
Generation 11 | Revalues: 2434 | GridSize: 13
Generation 12 | Revalues: 2646 | GridSize: 14
Generation 13 | Revalues: 2862 | GridSize: 17
Generation 14 | Revalues: 3070 | GridSize: 21
Generation 15 | Revalues: 3288 | GridSize: 19
Generation 16 | Revalues: 3530 | GridSize: 22
Generation 17 | Revalues: 3736 | GridSize: 24
Generation 18 | Revalues: 3954 | GridSize: 24
Generation 19 | Revalues: 4170 | GridSize: 20
Generation 20 | Revalues: 4380 | GridSize: 16
Generation 21 | Revalues: 4580 | GridSize: 17
Generation 22 | Revalues: 4782 | GridSize: 15
Generation 23 | Revalues: 5006 | GridSize: 20
Generation 24 | Revalues: 5206 | GridSize: 23
Generation 25 | Revalues: 5414 | GridSize: 21
Generation 26 | Revalues: 5636 | GridSize: 22
Generation 27 | Revalues: 5860 | GridSize: 23
Generation 28 | Revalues: 6088 | GridSize: 30
Generation 29 | Revalues: 6296 | GridSize: 33
Generation 30 | Revalues: 6508 | GridSize: 34
Generation 31 | Revalues: 6696 | GridSize: 26
Generation 32 | Revalues: 6914 | GridSize: 24
Generation 33 | Revalues: 7136 | GridSize: 22
Generation 34 | Revalues: 7346 | GridSize: 27
Generation 35 | Revalues: 7564 | GridSize: 27
Generation 36 | Revalues: 7786 | GridSize: 29
Generation 37 | Revalues: 8010 | GridSize: 29
Generation 38 | Revalues: 8226 | GridSize: 34
Generation 39 | Revalues: 8434 | GridSize: 35
Generation 40 | Revalues: 8656 | GridSize: 36
Generation 41 | Revalues: 8886 | GridSize: 37
Generation 42 | Revalues: 9110 | GridSize: 32
Generation 43 | Revalues: 9328 | GridSize: 33
Generation 44 | Revalues: 9522 | GridSize: 37
Generation 45 | Revalues: 9758 | GridSize: 25
Generation 46 | Revalues: 9960 | GridSize: 31
Generation 47 | Revalues: 10168 | GridSize: 33
Generation 48 | Revalues: 10396 | GridSize: 29
Generation 49 | Revalues: 10634 | GridSize: 36
